Date,Type,Location
2025-03-20,Departure,SNA
2025-03-05,Arrival,SNA
2024-12-15,Departure,SNA
2024-11-25,Arrival,SNA
2024-11-02,Departure,SNA
2024-10-11,Arrival,ARU
2024-10-06,Departure,MIA
2024-10-05,Arrival,SNA
2024-08-06,Departure,SNA
2024-08-03,Arrival,SNA
2024-03-11,Departure,SNA
2024-03-09,Arrival,SNA
2024-01-01,Departure,SNA
2023-12-29,Arrival,SNA
2023-07-10,Departure,SNA
2023-06-10,Arrival,SNA
2023-05-30,Departure,SNA
2023-05-05,Arrival,SNA
2022-12-21,Departure,SNA
2022-12-19,Arrival,SNA
2022-08-01,Departure,SNA
2022-07-10,Arrival,SNA
2022-02-16,Departure,SNA
2022-02-09,Arrival,SNA
2021-10-28,Departure,SNA
2021-10-19,Arrival,SNA
2021-09-11,Departure,SNA
2021-08-26,Arrival,SNA
2021-08-13,Departure,SNA
2021-08-02,Arrival,SNA
2021-05-21,Departure,SNA
2021-05-17,Arrival,HOU
2021-05-11,Departure,SNA
2021-04-30,Arrival,HOU
2021-04-25,Departure,HOU
2021-04-15,Arrival,SNA
2021-01-01,Departure,SNA
2020-12-17,Arrival,SNA
2020-01-24,Arrival,DAL
2020-01-14,Departure,DAL
2019-12-14,Arrival,HOU
2019-12-09,Departure,SNA
2019-11-19,Arrival,HOU
2019-11-10,Departure,SNA
2019-08-23,Arrival,HOU
2019-07-16,Departure,HOU
2019-06-24,Arrival,HOU
2019-05-21,Departure,ATL
2019-04-21,Arrival,HOU
2019-04-06,Departure,HOU
2019-01-30,Arrival,HOU
2019-01-10,Departure,ATL
2018-12-23,Arrival,RBB
2018-12-22,Departure,410
2018-06-27,Arrival,LLB
2018-05-06,Departure,SNA
2018-04-29,Arrival,SNA
2018-04-07,Arrival,OTM
2018-04-06,Arrival,SYS
2018-03-30,Arrival,OTM
2018-03-26,Arrival,OTM
2018-03-22,Departure,LOS
2018-03-14,Arrival,LOS
2017-12-29,Arrival,OTM
2017-12-26,Arrival,SYS
2017-12-25,Arrival,OTM
2017-12-18,Arrival,OTM
2017-12-17,Arrival,OTM
2017-10-08,Arrival,OTM
2017-09-17,Arrival,OTM
2017-09-13,Arrival,OTM
2017-09-10,Arrival,OTM
2017-08-30,Arrival,OTM
2017-08-26,Arrival,OTM
2017-08-23,Arrival,OTM
2017-08-19,Arrival,OTM
2016-10-23,Departure,SNA
2016-10-16,Arrival,SNA
